id,question,intent,tokens,slots
1,Can I have a Green Mint please?,order,"['Can', 'I', 'have', 'a', 'Green', 'Mint', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
2,Give me one Latte.,order,"['Give', 'me', 'one', 'Latte', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
3,Give me one Green Mint.,order,"['Give', 'me', 'one', 'Green', 'Mint', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
4,I'd like a cup of Chai tea.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Chai', 'tea', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'I-item', 'O']"
5,I’d like to order a Chai tea.,order,"['I’d', 'like', 'to', 'order', 'a', 'Chai', 'tea', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
6,I'd like a cup of Black Tea.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Black', 'Tea', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'I-item', 'O']"
7,Give me one Cappuccino.,order,"['Give', 'me', 'one', 'Cappuccino', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
8,Give me one Mocha.,order,"['Give', 'me', 'one', 'Mocha', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
9,I’d like to order a Black Tea.,order,"['I’d', 'like', 'to', 'order', 'a', 'Black', 'Tea', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
10,Can I have a Black Tea please?,order,"['Can', 'I', 'have', 'a', 'Black', 'Tea', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
11,Can I have a Hot Chocolate please?,order,"['Can', 'I', 'have', 'a', 'Hot', 'Chocolate', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
12,"One White Mocha to go, please.",order,"['One', 'White', 'Mocha', 'to', 'go', ',', 'please', '.']","['B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
13,Give me one Hot Chocolate.,order,"['Give', 'me', 'one', 'Hot', 'Chocolate', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
14,I’d like to order a Hot Chocolate.,order,"['I’d', 'like', 'to', 'order', 'a', 'Hot', 'Chocolate', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
15,Can I have a Latte please?,order,"['Can', 'I', 'have', 'a', 'Latte', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
16,"One Chai tea to go, please.",order,"['One', 'Chai', 'tea', 'to', 'go', ',', 'please', '.']","['B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
17,Can I have a Americano please?,order,"['Can', 'I', 'have', 'a', 'Americano', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
18,I'd like a cup of Latte.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Latte', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O']"
19,"One Green Mint to go, please.",order,"['One', 'Green', 'Mint', 'to', 'go', ',', 'please', '.']","['B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
20,Can I have a Mocha please?,order,"['Can', 'I', 'have', 'a', 'Mocha', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
21,Give me one Chai tea.,order,"['Give', 'me', 'one', 'Chai', 'tea', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
22,I'd like a cup of Cappuccino.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Cappuccino', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O']"
23,Can I have a White Mocha please?,order,"['Can', 'I', 'have', 'a', 'White', 'Mocha', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
24,I'd like a cup of Mocha.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Mocha', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O']"
25,Give me one Americano.,order,"['Give', 'me', 'one', 'Americano', '.']","['O', 'O', 'B-quantity', 'B-item', 'O']"
26,I'd like a cup of Green Mint.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Green', 'Mint', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'I-item', 'O']"
27,"One Cappuccino to go, please.",order,"['One', 'Cappuccino', 'to', 'go', ',', 'please', '.']","['B-quantity', 'B-item', 'O', 'O', 'O', 'O', 'O']"
28,I’d like to order a Matcha Latte.,order,"['I’d', 'like', 'to', 'order', 'a', 'Matcha', 'Latte', '.']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
29,Give me one Black Tea.,order,"['Give', 'me', 'one', 'Black', 'Tea', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
30,I'd like a cup of Americano.,order,"['I', ""'d"", 'like', 'a', 'cup', 'of', 'Americano', '.']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O']"
31,Give me one Matcha Latte.,order,"['Give', 'me', 'one', 'Matcha', 'Latte', '.']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
32,"I’d like to order one Americano, please",order,"['I’d', 'like', 'to', 'order', 'one', 'Americano', ',', 'please']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
33,Can I get two Americanos?,order,"['Can', 'I', 'get', 'two', 'Americanos', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
34,I'd like to have three cups of Americano,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Americano']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item']"
35,Could I order an Americano?,order,"['Could', 'I', 'order', 'an', 'Americano', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
36,Please give me one Americano,order,"['Please', 'give', 'me', 'one', 'Americano']","['O', 'O', 'O', 'B-quantity', 'B-item']"
37,"May I have two Americanos, please?",order,"['May', 'I', 'have', 'two', 'Americanos', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
38,I'd love to get an Americano,order,"['I', ""'d"", 'love', 'to', 'get', 'an', 'Americano']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
39,I want to order four Americanos,order,"['I', 'want', 'to', 'order', 'four', 'Americanos']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
40,Let me order a single Americano,order,"['Let', 'me', 'order', 'a', 'single', 'Americano']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'B-item']"
41,I’ll take one Americano to go,order,"['I’ll', 'take', 'one', 'Americano', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
42,I’d like five Americanos for my friends and me,order,"['I’d', 'like', 'five', 'Americanos', 'for', 'my', 'friends', 'and', 'me']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O', 'O']"
43,Can you make three Americanos for us?,order,"['Can', 'you', 'make', 'three', 'Americanos', 'for', 'us', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
44,I’d like to place an order for two Americanos,order,"['I’d', 'like', 'to', 'place', 'an', 'order', 'for', 'two', 'Americanos']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
45,"I'd appreciate a hot Americano, please",order,"['I', ""'d"", 'appreciate', 'a', 'hot', 'Americano', ',', 'please']","['O', 'O', 'O', 'B-quantity', 'I-item', 'B-item', 'O', 'O']"
46,"One Americano, thanks",order,"['One', 'Americano', ',', 'thanks']","['B-quantity', 'B-item', 'O', 'O']"
47,I need an Americano to start my day,order,"['I', 'need', 'an', 'Americano', 'to', 'start', 'my', 'day']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O']"
48,"Give me one cup of Americano, please",order,"['Give', 'me', 'one', 'cup', 'of', 'Americano', ',', 'please']","['O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O', 'O']"
49,I’ll go with an Americano today,order,"['I’ll', 'go', 'with', 'an', 'Americano', 'today']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
50,I want an Americano right now,order,"['I', 'want', 'an', 'Americano', 'right', 'now']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
51,I’d like to buy one Americano,order,"['I’d', 'like', 'to', 'buy', 'one', 'Americano']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
52,"I’d like to order one Cappuccino, please",order,"['I’d', 'like', 'to', 'order', 'one', 'Cappuccino', ',', 'please']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
53,Can I get two Cappuccinos?,order,"['Can', 'I', 'get', 'two', 'Cappuccinos', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
54,I'd like to have three cups of Cappuccino,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Cappuccino']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item']"
55,Could I order a Cappuccino?,order,"['Could', 'I', 'order', 'a', 'Cappuccino', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
56,Please give me one Cappuccino,order,"['Please', 'give', 'me', 'one', 'Cappuccino']","['O', 'O', 'O', 'B-quantity', 'B-item']"
57,"May I have two Cappuccinos, please?",order,"['May', 'I', 'have', 'two', 'Cappuccinos', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
58,I'd love to get a Cappuccino,order,"['I', ""'d"", 'love', 'to', 'get', 'a', 'Cappuccino']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
59,I want to order four Cappuccinos,order,"['I', 'want', 'to', 'order', 'four', 'Cappuccinos']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
60,Let me order a single Cappuccino,order,"['Let', 'me', 'order', 'a', 'single', 'Cappuccino']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'B-item']"
61,I’ll take one Cappuccino to go,order,"['I’ll', 'take', 'one', 'Cappuccino', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
62,I’d like five Cappuccinos for my friends and me,order,"['I’d', 'like', 'five', 'Cappuccinos', 'for', 'my', 'friends', 'and', 'me']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O', 'O']"
63,Can you make three Cappuccinos for us?,order,"['Can', 'you', 'make', 'three', 'Cappuccinos', 'for', 'us', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
64,I’d like to place an order for two Cappuccinos,order,"['I’d', 'like', 'to', 'place', 'an', 'order', 'for', 'two', 'Cappuccinos']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
65,"I'd appreciate a hot Cappuccino, please",order,"['I', ""'d"", 'appreciate', 'a', 'hot', 'Cappuccino', ',', 'please']","['O', 'O', 'O', 'B-quantity', 'I-item', 'B-item', 'O', 'O']"
66,"One Cappuccino, thanks",order,"['One', 'Cappuccino', ',', 'thanks']","['B-quantity', 'B-item', 'O', 'O']"
67,I need a Cappuccino to start my day,order,"['I', 'need', 'a', 'Cappuccino', 'to', 'start', 'my', 'day']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O']"
68,"Give me one cup of Cappuccino, please",order,"['Give', 'me', 'one', 'cup', 'of', 'Cappuccino', ',', 'please']","['O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O', 'O']"
69,I’ll go with a Cappuccino today,order,"['I’ll', 'go', 'with', 'a', 'Cappuccino', 'today']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
70,I want a Cappuccino right now,order,"['I', 'want', 'a', 'Cappuccino', 'right', 'now']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
71,I’d like to buy one Cappuccino,order,"['I’d', 'like', 'to', 'buy', 'one', 'Cappuccino']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
72,"I’d like to order one Latte, please",order,"['I’d', 'like', 'to', 'order', 'one', 'Latte', ',', 'please']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
73,Can I get two Lattes?,order,"['Can', 'I', 'get', 'two', 'Lattes', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
74,I'd like to have three cups of Latte,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Latte']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item']"
75,Could I order a Latte?,order,"['Could', 'I', 'order', 'a', 'Latte', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
76,Please give me one Latte,order,"['Please', 'give', 'me', 'one', 'Latte']","['O', 'O', 'O', 'B-quantity', 'B-item']"
77,"May I have two Lattes, please?",order,"['May', 'I', 'have', 'two', 'Lattes', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
78,I'd love to get a Latte,order,"['I', ""'d"", 'love', 'to', 'get', 'a', 'Latte']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
79,I want to order four Lattes,order,"['I', 'want', 'to', 'order', 'four', 'Lattes']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
80,Let me order a single Latte,order,"['Let', 'me', 'order', 'a', 'single', 'Latte']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'B-item']"
81,I’ll take one Latte to go,order,"['I’ll', 'take', 'one', 'Latte', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
82,I’d like five Lattes for my friends and me,order,"['I’d', 'like', 'five', 'Lattes', 'for', 'my', 'friends', 'and', 'me']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O', 'O']"
83,Can you make three Lattes for us?,order,"['Can', 'you', 'make', 'three', 'Lattes', 'for', 'us', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
84,I’d like to place an order for two Lattes,order,"['I’d', 'like', 'to', 'place', 'an', 'order', 'for', 'two', 'Lattes']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
85,"I'd appreciate a hot Latte, please",order,"['I', ""'d"", 'appreciate', 'a', 'hot', 'Latte', ',', 'please']","['O', 'O', 'O', 'B-quantity', 'I-item', 'B-item', 'O', 'O']"
86,"One Latte, thanks",order,"['One', 'Latte', ',', 'thanks']","['B-quantity', 'B-item', 'O', 'O']"
87,I need a Latte to start my day,order,"['I', 'need', 'a', 'Latte', 'to', 'start', 'my', 'day']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O', 'O']"
88,"Give me one cup of Latte, please",order,"['Give', 'me', 'one', 'cup', 'of', 'Latte', ',', 'please']","['O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item', 'O', 'O']"
89,I’ll go with a Latte today,order,"['I’ll', 'go', 'with', 'a', 'Latte', 'today']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
90,I want a Latte right now,order,"['I', 'want', 'a', 'Latte', 'right', 'now']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
91,I’d like to buy one Latte,order,"['I’d', 'like', 'to', 'buy', 'one', 'Latte']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
92,"I’d like to order one Mocha, please",order,"['I’d', 'like', 'to', 'order', 'one', 'Mocha', ',', 'please']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
93,Can I get two Mochas?,order,"['Can', 'I', 'get', 'two', 'Mochas', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
94,I'd like to have three cups of Mocha,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Mocha']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'I-quantity', 'I-quantity', 'B-item']"
95,Could I order a Mocha?,order,"['Could', 'I', 'order', 'a', 'Mocha', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O']"
96,Please give me one Mocha,order,"['Please', 'give', 'me', 'one', 'Mocha']","['O', 'O', 'O', 'B-quantity', 'B-item']"
97,"May I have two Mochas, please?",order,"['May', 'I', 'have', 'two', 'Mochas', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'O']"
98,I'd love to get a Mocha,order,"['I', ""'d"", 'love', 'to', 'get', 'a', 'Mocha']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
99,I want to order four Mochas,order,"['I', 'want', 'to', 'order', 'four', 'Mochas']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item']"
100,Let me order a single Mocha,order,"['Let', 'me', 'order', 'a', 'single', 'Mocha']","['O', 'O', 'O', 'B-quantity', 'I-quantity', 'B-item']"
101,I’ll take one Mocha to go,order,"['I’ll', 'take', 'one', 'Mocha', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'O', 'O']"
