id,question,intent,tokens,slots
194,I'd like to have three cups of Hot Chocolate,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Hot', 'Chocolate']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'O', 'O', 'B-item', 'I-item']"
195,Could I order a Hot Chocolate?,order,"['Could', 'I', 'order', 'a', 'Hot', 'Chocolate', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
196,Please give me one Hot Chocolate,order,"['Please', 'give', 'me', 'one', 'Hot', 'Chocolate']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
197,"May I have two Hot Chocolates, please?",order,"['May', 'I', 'have', 'two', 'Hot', 'Chocolates', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O']"
198,I'd love to get a Hot Chocolate,order,"['I', ""'d"", 'love', 'to', 'get', 'a', 'Hot', 'Chocolate']","['O', 'O', 'O', 'O', 'O', 'O', 'B-item', 'I-item']"
199,I want to order four Hot Chocolates,order,"['I', 'want', 'to', 'order', 'four', 'Hot', 'Chocolates']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
200,Let me order a single Hot Chocolate,order,"['Let', 'me', 'order', 'a', 'single', 'Hot', 'Chocolate']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
201,I’ll take one Hot Chocolate to go,order,"['I’ll', 'take', 'one', 'Hot', 'Chocolate', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
202,I’d like five Hot Chocolates for my friends and me,order,"['I’d', 'like', 'five', 'Hot', 'Chocolates', 'for', 'my', 'friends', 'and', 'me']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
203,Can you make three Hot Chocolates for us?,order,"['Can', 'you', 'make', 'three', 'Hot', 'Chocolates', 'for', 'us', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O']"
204,I’d like to place an order for two Hot Chocolates,order,"['I’d', 'like', 'to', 'place', 'an', 'order', 'for', 'two', 'Hot', 'Chocolates']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
205,"I'd appreciate a hot Hot Chocolate, please",order,"['I', ""'d"", 'appreciate', 'a', 'hot', 'Hot', 'Chocolate', ',', 'please']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
206,"One Hot Chocolate, thanks",order,"['One', 'Hot', 'Chocolate', ',', 'thanks']","['B-quantity', 'B-item', 'I-item', 'O', 'O']"
207,I need a Hot Chocolate to start my day,order,"['I', 'need', 'a', 'Hot', 'Chocolate', 'to', 'start', 'my', 'day']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O']"
208,"Give me one cup of Hot Chocolate, please",order,"['Give', 'me', 'one', 'cup', 'of', 'Hot', 'Chocolate', ',', 'please']","['O', 'O', 'B-quantity', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
209,I’ll go with a Hot Chocolate today,order,"['I’ll', 'go', 'with', 'a', 'Hot', 'Chocolate', 'today']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
210,I want a Hot Chocolate right now,order,"['I', 'want', 'a', 'Hot', 'Chocolate', 'right', 'now']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
211,I’d like to buy one Hot Chocolate,order,"['I’d', 'like', 'to', 'buy', 'one', 'Hot', 'Chocolate']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
212,"I’d like to order one Matcha Latte, please",order,"['I’d', 'like', 'to', 'order', 'one', 'Matcha', 'Latte', ',', 'please']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
213,Can I get two Matcha Lattes?,order,"['Can', 'I', 'get', 'two', 'Matcha', 'Lattes', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O']"
214,I'd like to have three cups of Matcha Latte,order,"['I', ""'d"", 'like', 'to', 'have', 'three', 'cups', 'of', 'Matcha', 'Latte']","['O', 'O', 'O', 'O', 'O', 'B-quantity', 'O', 'O', 'B-item', 'I-item']"
215,Could I order a Matcha Latte?,order,"['Could', 'I', 'order', 'a', 'Matcha', 'Latte', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
216,Please give me one Matcha Latte,order,"['Please', 'give', 'me', 'one', 'Matcha', 'Latte']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
217,"May I have two Matcha Lattes, please?",order,"['May', 'I', 'have', 'two', 'Matcha', 'Lattes', ',', 'please', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O']"
218,I'd love to get a Matcha Latte,order,"['I', ""'d"", 'love', 'to', 'get', 'a', 'Matcha', 'Latte']","['O', 'O', 'O', 'O', 'O', 'O', 'B-item', 'I-item']"
219,I want to order four Matcha Lattes,order,"['I', 'want', 'to', 'order', 'four', 'Matcha', 'Lattes']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
220,Let me order a single Matcha Latte,order,"['Let', 'me', 'order', 'a', 'single', 'Matcha', 'Latte']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
221,I’ll take one Matcha Latte to go,order,"['I’ll', 'take', 'one', 'Matcha', 'Latte', 'to', 'go']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O']"
222,I’d like five Matcha Lattes for my friends and me,order,"['I’d', 'like', 'five', 'Matcha', 'Lattes', 'for', 'my', 'friends', 'and', 'me']","['O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
223,Can you make three Matcha Lattes for us?,order,"['Can', 'you', 'make', 'three', 'Matcha', 'Lattes', 'for', 'us', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'I-item', 'O', 'O', 'O']"
224,I’d like to place an order for two Matcha Lattes,order,"['I’d', 'like', 'to', 'place', 'an', 'order', 'for', 'two', 'Matcha', 'Lattes']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
225,"I'd appreciate a hot Matcha Latte, please",order,"['I', ""'d"", 'appreciate', 'a', 'hot', 'Matcha', 'Latte', ',', 'please']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
226,"One Matcha Latte, thanks",order,"['One', 'Matcha', 'Latte', ',', 'thanks']","['B-quantity', 'B-item', 'I-item', 'O', 'O']"
227,I need a Matcha Latte to start my day,order,"['I', 'need', 'a', 'Matcha', 'Latte', 'to', 'start', 'my', 'day']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O']"
228,"Give me one cup of Matcha Latte, please",order,"['Give', 'me', 'one', 'cup', 'of', 'Matcha', 'Latte', ',', 'please']","['O', 'O', 'B-quantity', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
229,I’ll go with a Matcha Latte today,order,"['I’ll', 'go', 'with', 'a', 'Matcha', 'Latte', 'today']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
230,I want a Matcha Latte right now,order,"['I', 'want', 'a', 'Matcha', 'Latte', 'right', 'now']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O']"
231,I’d like to buy one Matcha Latte,order,"['I’d', 'like', 'to', 'buy', 'one', 'Matcha', 'Latte']","['O', 'O', 'O', 'O', 'B-quantity', 'B-item', 'I-item']"
232,Can I get an Americano?,order,"['Can', 'I', 'get', 'an', 'Americano', '?']","['O', 'O', 'O', 'O', 'B-item', 'O']"
233,Could I have a Latte?,order,"['Could', 'I', 'have', 'a', 'Latte', '?']","['O', 'O', 'O', 'O', 'B-item', 'O']"
234,I'll take a Mocha.,order,"['I', ""'ll"", 'take', 'a', 'Mocha', '.']","['O', 'O', 'O', 'O', 'B-item', 'O']"
235,Do you have Black Tea?,order,"['Do', 'you', 'have', 'Black', 'Tea', '?']","['O', 'O', 'O', 'B-item', 'I-item', 'O']"
236,I'd like a Chai tea.,order,"['I', ""'d"", 'like', 'a', 'Chai', 'tea', '.']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
237,Can I get a Green Mint?,order,"['Can', 'I', 'get', 'a', 'Green', 'Mint', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
238,Could I have a Hot Chocolate?,order,"['Could', 'I', 'have', 'a', 'Hot', 'Chocolate', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
239,I'll take a Matcha Latte.,order,"['I', ""'ll"", 'take', 'a', 'Matcha', 'Latte', '.']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
240,I'd like to order a coffee.,order,"['I', ""'d"", 'like', 'to', 'order', 'a', 'coffee', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
249,Can I order a cappuccino?,order,"['Can', 'I', 'order', 'a', 'cappuccino', '?']","['O', 'O', 'O', 'O', 'B-item', 'O']"
250,"I'd like to get a latte, please.",order,"['I', ""'d"", 'like', 'to', 'get', 'a', 'latte', ',', 'please', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
251,Could I have a mocha?,order,"['Could', 'I', 'have', 'a', 'mocha', '?']","['O', 'O', 'O', 'O', 'B-item', 'O']"
252,Can you prepare an Americano for me?,order,"['Can', 'you', 'prepare', 'an', 'Americano', 'for', 'me', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
253,May I order a white mocha?,order,"['May', 'I', 'order', 'a', 'white', 'mocha', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
254,"I want a black tea, please.",order,"['I', 'want', 'a', 'black', 'tea', ',', 'please', '.']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O']"
255,Could I get a chai tea?,order,"['Could', 'I', 'get', 'a', 'chai', 'tea', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
256,Can I have a green mint tea?,order,"['Can', 'I', 'have', 'a', 'green', 'mint', 'tea', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'I-item', 'O']"
257,I'd like a hot chocolate.,order,"['I', ""'d"", 'like', 'a', 'hot', 'chocolate', '.']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
258,May I order a matcha latte?,order,"['May', 'I', 'order', 'a', 'matcha', 'latte', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
259,Can I get an Americano with extra sugar?,order,"['Can', 'I', 'get', 'an', 'Americano', 'with', 'extra', 'sugar', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O', 'O']"
260,I'd like a cappuccino with almond milk.,order,"['I', ""'d"", 'like', 'a', 'cappuccino', 'with', 'almond', 'milk', '.']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O', 'O']"
261,Could I have a latte with less ice?,order,"['Could', 'I', 'have', 'a', 'latte', 'with', 'less', 'ice', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O', 'O']"
262,Can you make a mocha without whipped cream?,order,"['Can', 'you', 'make', 'a', 'mocha', 'without', 'whipped', 'cream', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O', 'O']"
263,May I order a white mocha with extra caramel?,order,"['May', 'I', 'order', 'a', 'white', 'mocha', 'with', 'extra', 'caramel', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O']"
264,I want a black tea with honey.,order,"['I', 'want', 'a', 'black', 'tea', 'with', 'honey', '.']","['O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O']"
265,Could I get a chai tea with oat milk?,order,"['Could', 'I', 'get', 'a', 'chai', 'tea', 'with', 'oat', 'milk', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O']"
266,Can I have a green mint tea with less sugar?,order,"['Can', 'I', 'have', 'a', 'green', 'mint', 'tea', 'with', 'less', 'sugar', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'I-item', 'O', 'O', 'O', 'O']"
267,I'd like a hot chocolate with marshmallows.,order,"['I', ""'d"", 'like', 'a', 'hot', 'chocolate', 'with', 'marshmallows', '.']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O']"
268,May I order a matcha latte with soy milk?,order,"['May', 'I', 'order', 'a', 'matcha', 'latte', 'with', 'soy', 'milk', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O']"
269,Can I get two Americanos and one cappuccino?,order,"['Can', 'I', 'get', 'two', 'Americanos', 'and', 'one', 'cappuccino', '?']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'B-quantity', 'B-item', 'O']"
270,I'd like three lattes and a black tea.,order,"['I', ""'d"", 'like', 'three', 'lattes', 'and', 'a', 'black', 'tea', '.']","['O', 'O', 'O', 'B-quantity', 'B-item', 'O', 'O', 'B-item', 'I-item', 'O']"
271,Could I have a mocha and a hot chocolate?,order,"['Could', 'I', 'have', 'a', 'mocha', 'and', 'a', 'hot', 'chocolate', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'B-item', 'I-item', 'O']"
272,Can you prepare a white mocha and a matcha latte?,order,"['Can', 'you', 'prepare', 'a', 'white', 'mocha', 'and', 'a', 'matcha', 'latte', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'B-item', 'I-item', 'O']"
273,May I order a green mint tea and a chai tea?,order,"['May', 'I', 'order', 'a', 'green', 'mint', 'tea', 'and', 'a', 'chai', 'tea', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'I-item', 'O', 'O', 'B-item', 'I-item', 'O']"
274,"I want a large Americano, please.",order,"['I', 'want', 'a', 'large', 'Americano', ',', 'please', '.']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
275,Could I get a small cappuccino?,order,"['Could', 'I', 'get', 'a', 'small', 'cappuccino', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
276,Can I have a medium latte?,order,"['Can', 'I', 'have', 'a', 'medium', 'latte', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
277,I'd like a large mocha.,order,"['I', ""'d"", 'like', 'a', 'large', 'mocha', '.']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
278,May I order a small white mocha?,order,"['May', 'I', 'order', 'a', 'small', 'white', 'mocha', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
279,Can I get a black tea in a large cup?,order,"['Can', 'I', 'get', 'a', 'black', 'tea', 'in', 'a', 'large', 'cup', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O', 'O', 'O']"
280,I'd like a small chai tea.,order,"['I', ""'d"", 'like', 'a', 'small', 'chai', 'tea', '.']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
281,Could I have a medium green mint tea?,order,"['Could', 'I', 'have', 'a', 'medium', 'green', 'mint', 'tea', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'I-item', 'O']"
282,Can you make a large hot chocolate?,order,"['Can', 'you', 'make', 'a', 'large', 'hot', 'chocolate', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
283,May I order a small matcha latte?,order,"['May', 'I', 'order', 'a', 'small', 'matcha', 'latte', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
284,Can I get an iced Americano?,order,"['Can', 'I', 'get', 'an', 'iced', 'Americano', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
285,I'd like a hot cappuccino.,order,"['I', ""'d"", 'like', 'a', 'hot', 'cappuccino', '.']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
286,Could I have an iced latte?,order,"['Could', 'I', 'have', 'an', 'iced', 'latte', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
287,Can you make a hot mocha?,order,"['Can', 'you', 'make', 'a', 'hot', 'mocha', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'O']"
288,May I order an iced white mocha?,order,"['May', 'I', 'order', 'an', 'iced', 'white', 'mocha', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
289,Can I get a cold black tea?,order,"['Can', 'I', 'get', 'a', 'cold', 'black', 'tea', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
290,I'd like a hot chai tea.,order,"['I', ""'d"", 'like', 'a', 'hot', 'chai', 'tea', '.']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
291,Could I have an iced green mint tea?,order,"['Could', 'I', 'have', 'an', 'iced', 'green', 'mint', 'tea', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'I-item', 'O']"
292,Can you make a cold hot chocolate?,order,"['Can', 'you', 'make', 'a', 'cold', 'hot', 'chocolate', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
293,May I order an iced matcha latte?,order,"['May', 'I', 'order', 'an', 'iced', 'matcha', 'latte', '?']","['O', 'O', 'O', 'O', 'O', 'B-item', 'I-item', 'O']"
294,Can I get an Americano to go?,order,"['Can', 'I', 'get', 'an', 'Americano', 'to', 'go', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
295,I'd like a cappuccino for here.,order,"['I', ""'d"", 'like', 'a', 'cappuccino', 'for', 'here', '.']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
296,Could I have a latte to take away?,order,"['Could', 'I', 'have', 'a', 'latte', 'to', 'take', 'away', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O', 'O']"
297,Can you prepare a mocha for here?,order,"['Can', 'you', 'prepare', 'a', 'mocha', 'for', 'here', '?']","['O', 'O', 'O', 'O', 'B-item', 'O', 'O', 'O']"
298,May I order a white mocha to go?,order,"['May', 'I', 'order', 'a', 'white', 'mocha', 'to', 'go', '?']","['O', 'O', 'O', 'O', 'B-item', 'I-item', 'O', 'O', 'O']"