id,question,intent
1,Good morning!,greeting
2,Good day!,greeting
3,"Hey, what's up?",greeting
4,"Hi, how are you?",greeting
5,Hey!,greeting
6,Hello!,greeting
7,"Hi, coffee time?",greeting
8,Hi there!,greeting
9,"Hello, is anyone there?",greeting
10,Good afternoon!,greeting
11,Take care!,goodbye
12,goodbye!,goodbye
13,See you soon!,goodbye
14,"Thanks, goodbye!",goodbye
15,Catch you next time!,goodbye
16,Talk later!,goodbye
17,See you later!,goodbye
18,Farewell!,goodbye
19,goodbye for now!,goodbye
20,goodbye!,goodbye
21,When can I visit in the morning?,open_time
22,Is the café open early in the morning?,open_time
23,Can I come in at 8:00 AM?,open_time
24,Do you open at 8:00?,open_time
25,What time do you open?,open_time
26,Are you open at 8 AM?,open_time
27,Are you open now? It’s 8:30 AM.,open_time
28,When do you start serving coffee?,open_time
29,Do you open every day at 8 AM?,open_time
30,What’s your opening hour?,open_time
31,What’s your last call?,close_time
32,Can I come by at 8:45 PM?,close_time
33,How late are you open?,close_time
34,When do you close?,close_time
35,Can I visit before you close?,close_time
36,Is 9 PM your closing time?,close_time
37,Are you open until 9 PM?,close_time
38,Are you still open at 20:59?,close_time
39,Will you be open after 8 PM?,close_time
40,Do you stop serving at 9 PM?,close_time
41,Can you tell me your location?,location
42,"Are you based in FPT, HCMC?",location
43,Where in FPT University are you?,location
44,Where is your café?,location
45,Is your café in Vietnam?,location
46,What’s your address?,location
47,Are you at FPT University?,location
48,Where can I find you?,location
49,Are you located in Ho Chi Minh City?,location
50,Where is the coffee shop located?,location
51,Thank you!,thank_you
52,I appreciate it!,thank_you
53,Thanks for your service!,thank_you
54,Really appreciate it!,thank_you
55,Thanks a lot!,thank_you
56,Much appreciated!,thank_you
57,"I’m grateful, thanks!",thank_you
58,Thanks for the help!,thank_you
59,Thanks!,thank_you
60,Thank you so much!,thank_you
62,Can I have a Green Mint please?,order
63,Give me one Latte.,order
64,Give me one Green Mint.,order
65,I'd like a cup of Chai tea.,order
66,I’d like to order a Chai tea.,order
67,I'd like a cup of Black Tea.,order
68,Give me one Cappuccino.,order
69,Give me one Mocha.,order
70,I’d like to order a Black Tea.,order
71,Can I have a Black Tea please?,order
72,Can I have a Hot Chocolate please?,order
73,"One White Mocha to go, please.",order
74,Give me one Hot Chocolate.,order
75,I’d like to order a Hot Chocolate.,order
76,Can I have a Latte please?,order
77,"One Chai tea to go, please.",order
78,Can I have a Americano please?,order
79,I'd like a cup of Latte.,order
80,"One Green Mint to go, please.",order
81,Can I have a Mocha please?,order
82,Give me one Chai tea.,order
83,I'd like a cup of Cappuccino.,order
84,Can I have a White Mocha please?,order
85,I'd like a cup of Mocha.,order
86,Give me one Americano.,order
87,I'd like a cup of Green Mint.,order
88,"One Cappuccino to go, please.",order
89,I’d like to order a Matcha Latte.,order
90,Give me one Black Tea.,order
91,I'd like a cup of Americano.,order
92,Give me one Matcha Latte.,order
93,Can I cancel my last order?,cancel_order
94,I want to cancel my order.,cancel_order
95,"I changed my mind, cancel the order.",cancel_order
96,Please cancel what I just ordered.,cancel_order
97,"Cancel my drink, please.",cancel_order
98,What’s on the menu today?,menu
99,What drinks do you have?,menu
100,Can I see the menu?,menu
101,Do you serve coffee and tea?,menu
102,Can you show me the drink options?,menu
103,Is there a special offer available?,promotion
104,Any deals on coffee now?,promotion
105,Are you running any promotions?,promotion
106,Do you have any discounts?,promotion
107,Are there any promotions today?,promotion
108,How much do you charge for Cappuccino?,price
109,What's the price for a cup of White Mocha?,price
110,What’s the price of Black Tea?,price
111,Can you tell me the cost of Americano?,price
112,How much is a Black Tea?,price
113,What's the price for a cup of Americano?,price
114,How much do you charge for Mocha?,price
115,Can you tell me the cost of Matcha Latte?,price
116,How much do you charge for White Mocha?,price
117,What’s the price of Cappuccino?,price
118,Can you tell me the cost of White Mocha?,price
119,What’s the price of Matcha Latte?,price
120,What's the price for a cup of Mocha?,price
121,What's the price for a cup of Latte?,price
122,How much is a Hot Chocolate?,price
123,How much is a Cappuccino?,price
124,Can you tell me the cost of Green Mint?,price
125,Can you tell me the cost of Hot Chocolate?,price
126,Can you tell me the cost of Chai tea?,price
127,How much is a White Mocha?,price
128,How much is a Green Mint?,price
129,How much is a Americano?,price
130,Can you tell me the cost of Black Tea?,price
131,How much is a Latte?,price
132,What’s the price of White Mocha?,price
133,What’s the price of Green Mint?,price
134,Can you tell me the cost of Mocha?,price
135,How much do you charge for Chai tea?,price
136,How much do you charge for Black Tea?,price
137,What's the price for a cup of Chai tea?,price
138,How much do you charge for Americano?,price
139,How much is a Matcha Latte?,price
140,What's the price for a cup of Black Tea?,price
141,Can I change my order?,change_order
142,I want to modify my order.,change_order
143,I want to update my drink choice.,change_order
144,I’d like to change what I ordered.,change_order
145,Can I switch my drink?,change_order
146,"I’d like to order one Americano, please",order
147,Can I get two Americanos?,order
148,I'd like to have three cups of Americano,order
149,Could I order an Americano?,order
150,Please give me one Americano,order
151,"May I have two Americanos, please?",order
152,I'd love to get an Americano,order
153,I want to order four Americanos,order
154,Let me order a single Americano,order
155,I’ll take one Americano to go,order
156,I’d like five Americanos for my friends and me,order
157,Can you make three Americanos for us?,order
158,I’d like to place an order for two Americanos,order
159,"I'd appreciate a hot Americano, please",order
160,"One Americano, thanks",order
161,I need an Americano to start my day,order
162,"Give me one cup of Americano, please",order
163,I’ll go with an Americano today,order
164,I want an Americano right now,order
165,I’d like to buy one Americano,order
166,"I’d like to order one Cappuccino, please",order
167,Can I get two Cappuccinos?,order
168,I'd like to have three cups of Cappuccino,order
169,Could I order a Cappuccino?,order
170,Please give me one Cappuccino,order
171,"May I have two Cappuccinos, please?",order
172,I'd love to get a Cappuccino,order
173,I want to order four Cappuccinos,order
174,Let me order a single Cappuccino,order
175,I’ll take one Cappuccino to go,order
176,I’d like five Cappuccinos for my friends and me,order
177,Can you make three Cappuccinos for us?,order
178,I’d like to place an order for two Cappuccinos,order
179,"I'd appreciate a hot Cappuccino, please",order
180,"One Cappuccino, thanks",order
181,I need a Cappuccino to start my day,order
182,"Give me one cup of Cappuccino, please",order
183,I’ll go with a Cappuccino today,order
184,I want a Cappuccino right now,order
185,I’d like to buy one Cappuccino,order
186,"I’d like to order one Latte, please",order
187,Can I get two Lattes?,order
188,I'd like to have three cups of Latte,order
189,Could I order a Latte?,order
190,Please give me one Latte,order
191,"May I have two Lattes, please?",order
192,I'd love to get a Latte,order
193,I want to order four Lattes,order
194,Let me order a single Latte,order
195,I’ll take one Latte to go,order
196,I’d like five Lattes for my friends and me,order
197,Can you make three Lattes for us?,order
198,I’d like to place an order for two Lattes,order
199,"I'd appreciate a hot Latte, please",order
200,"One Latte, thanks",order
201,I need a Latte to start my day,order
202,"Give me one cup of Latte, please",order
203,I’ll go with a Latte today,order
204,I want a Latte right now,order
205,I’d like to buy one Latte,order
206,"I’d like to order one Mocha, please",order
207,Can I get two Mochas?,order
208,I'd like to have three cups of Mocha,order
209,Could I order a Mocha?,order
210,Please give me one Mocha,order
211,"May I have two Mochas, please?",order
212,I'd love to get a Mocha,order
213,I want to order four Mochas,order
214,Let me order a single Mocha,order
215,I’ll take one Mocha to go,order
216,I’d like five Mochas for my friends and me,order
217,Can you make three Mochas for us?,order
218,I’d like to place an order for two Mochas,order
219,"I'd appreciate a hot Mocha, please",order
220,"One Mocha, thanks",order
221,I need a Mocha to start my day,order
222,"Give me one cup of Mocha, please",order
223,I’ll go with a Mocha today,order
224,I want a Mocha right now,order
225,I’d like to buy one Mocha,order
226,"I’d like to order one White Mocha, please",order
227,Can I get two White Mochas?,order
228,I'd like to have three cups of White Mocha,order
229,Could I order a White Mocha?,order
230,Please give me one White Mocha,order
231,"May I have two White Mochas, please?",order
232,I'd love to get a White Mocha,order
233,I want to order four White Mochas,order
234,Let me order a single White Mocha,order
235,I’ll take one White Mocha to go,order
236,I’d like five White Mochas for my friends and me,order
237,Can you make three White Mochas for us?,order
238,I’d like to place an order for two White Mochas,order
239,"I'd appreciate a hot White Mocha, please",order
240,"One White Mocha, thanks",order
241,I need a White Mocha to start my day,order
242,"Give me one cup of White Mocha, please",order
243,I’ll go with a White Mocha today,order
244,I want a White Mocha right now,order
245,I’d like to buy one White Mocha,order
246,"I’d like to order one Black Tea, please",order
247,Can I get two Black Teas?,order
248,I'd like to have three cups of Black Tea,order
249,Could I order a Black Tea?,order
250,Please give me one Black Tea,order
251,"May I have two Black Teas, please?",order
252,I'd love to get a Black Tea,order
253,I want to order four Black Teas,order
254,Let me order a single Black Tea,order
255,I’ll take one Black Tea to go,order
256,I’d like five Black Teas for my friends and me,order
257,Can you make three Black Teas for us?,order
258,I’d like to place an order for two Black Teas,order
259,"I'd appreciate a hot Black Tea, please",order
260,"One Black Tea, thanks",order
261,I need a Black Tea to start my day,order
262,"Give me one cup of Black Tea, please",order
263,I’ll go with a Black Tea today,order
264,I want a Black Tea right now,order
265,I’d like to buy one Black Tea,order
266,"I’d like to order one Chai Tea, please",order
267,Can I get two Chai Teas?,order
268,I'd like to have three cups of Chai Tea,order
269,Could I order a Chai Tea?,order
270,Please give me one Chai Tea,order
271,"May I have two Chai Teas, please?",order
272,I'd love to get a Chai Tea,order
273,I want to order four Chai Teas,order
274,Let me order a single Chai Tea,order
275,I’ll take one Chai Tea to go,order
276,I’d like five Chai Teas for my friends and me,order
277,Can you make three Chai Teas for us?,order
278,I’d like to place an order for two Chai Teas,order
279,"I'd appreciate a hot Chai Tea, please",order
280,"One Chai Tea, thanks",order
281,I need a Chai Tea to start my day,order
282,"Give me one cup of Chai Tea, please",order
283,I’ll go with a Chai Tea today,order
284,I want a Chai Tea right now,order
285,I’d like to buy one Chai Tea,order
286,"I’d like to order one Green Mint, please",order
287,Can I get two Green Mints?,order
288,I'd like to have three cups of Green Mint,order
289,Could I order a Green Mint?,order
290,Please give me one Green Mint,order
291,"May I have two Green Mints, please?",order
292,I'd love to get a Green Mint,order
293,I want to order four Green Mints,order
294,Let me order a single Green Mint,order
295,I’ll take one Green Mint to go,order
296,I’d like five Green Mints for my friends and me,order
297,Can you make three Green Mints for us?,order
298,I’d like to place an order for two Green Mints,order
299,"I'd appreciate a hot Green Mint, please",order
300,"One Green Mint, thanks",order
301,I need a Green Mint to start my day,order
302,"Give me one cup of Green Mint, please",order
303,I’ll go with a Green Mint today,order
304,I want a Green Mint right now,order
305,I’d like to buy one Green Mint,order
306,"I’d like to order one Hot Chocolate, please",order
307,Can I get two Hot Chocolates?,order
308,I'd like to have three cups of Hot Chocolate,order
309,Could I order a Hot Chocolate?,order
310,Please give me one Hot Chocolate,order
311,"May I have two Hot Chocolates, please?",order
312,I'd love to get a Hot Chocolate,order
313,I want to order four Hot Chocolates,order
314,Let me order a single Hot Chocolate,order
315,I’ll take one Hot Chocolate to go,order
316,I’d like five Hot Chocolates for my friends and me,order
317,Can you make three Hot Chocolates for us?,order
318,I’d like to place an order for two Hot Chocolates,order
319,"I'd appreciate a hot Hot Chocolate, please",order
320,"One Hot Chocolate, thanks",order
321,I need a Hot Chocolate to start my day,order
322,"Give me one cup of Hot Chocolate, please",order
323,I’ll go with a Hot Chocolate today,order
324,I want a Hot Chocolate right now,order
325,I’d like to buy one Hot Chocolate,order
326,"I’d like to order one Matcha Latte, please",order
327,Can I get two Matcha Lattes?,order
328,I'd like to have three cups of Matcha Latte,order
329,Could I order a Matcha Latte?,order
330,Please give me one Matcha Latte,order
331,"May I have two Matcha Lattes, please?",order
332,I'd love to get a Matcha Latte,order
333,I want to order four Matcha Lattes,order
334,Let me order a single Matcha Latte,order
335,I’ll take one Matcha Latte to go,order
336,I’d like five Matcha Lattes for my friends and me,order
337,Can you make three Matcha Lattes for us?,order
338,I’d like to place an order for two Matcha Lattes,order
339,"I'd appreciate a hot Matcha Latte, please",order
340,"One Matcha Latte, thanks",order
341,I need a Matcha Latte to start my day,order
342,"Give me one cup of Matcha Latte, please",order
343,I’ll go with a Matcha Latte today,order
344,I want a Matcha Latte right now,order
345,I’d like to buy one Matcha Latte,order
346,I want to cancel my order,cancel_order
347,"I changed my mind, cancel the order",cancel_order
348,Please cancel what I just ordered,cancel_order
349,"Cancel my drink, please",cancel_order
350,I need to cancel my order,cancel_order
351,Can you cancel my last request?,cancel_order
352,Please cancel that drink,cancel_order
353,I’d like to cancel my recent order,cancel_order
354,Cancel the order I just made,cancel_order
355,"I no longer want that drink, cancel it",cancel_order
356,"Cancel my coffee order, please",cancel_order
357,Can I revoke my previous order?,cancel_order
358,Please remove my last order,cancel_order
359,"Forget my last order, please",cancel_order
360,"I’m not going through with that order, cancel it",cancel_order
361,"I placed the wrong order, please cancel it",cancel_order
362,Take back my drink request,cancel_order
363,"I hit order by mistake, cancel it",cancel_order
364,I’d like to stop my current order,cancel_order
365,I want to modify my drink order,change_order
366,I’d like to switch my order,change_order
367,Can I update what I ordered?,change_order
368,I’d like to make a change to my order,change_order
369,Is it possible to alter my drink?,change_order
370,"I ordered the wrong item, can I change it?",change_order
371,Please adjust my order,change_order
372,I'd like to replace my current order,change_order
373,Can I swap my order for something else?,change_order
374,I’d like to order something different instead,change_order
375,Is there a way to change my request?,change_order
376,Let me modify my drink selection,change_order
377,I need to update my order,change_order
378,"I made a mistake, can I change my order?",change_order
379,"Change my drink to something else, please",change_order
380,I'd like to revise what I ordered,change_order
381,I want to change my coffee to tea,change_order
382,Please help me update my drink choice,change_order
383,Can I correct my order?,change_order
384,What time do you close?,close_time
385,When does your shop close?,close_time
386,Do you close at 21:00?,close_time
387,When do you stop serving drinks?,close_time
388,Can I come at 8:50 PM before you close?,close_time
389,What’s your closing hour?,close_time
390,Are you still open at 8:45 PM?,close_time
391,Do you close every day at 9 PM?,close_time
392,Until what time are you accepting orders?,close_time
393,Can I place an order after 8:30 PM?,close_time
394,Is your café open past 8 PM?,close_time
395,Will you still be open at 20:59?,close_time
396,What is the latest time I can come in?,close_time
397,Are you serving coffee until 9 PM?,close_time
398,Do you stop taking customers after 9 PM?,close_time
399,Is the café still running at 8:55 PM?,close_time
400,Can I get a drink if I arrive at 8:40 PM?,close_time
401,Is 9 PM the latest you stay open?,close_time
402,Where can I find your café?,location
403,What’s the address of your shop?,location
404,Where are you based?,location
405,Is the coffee shop inside FPT University?,location
406,Where exactly is your café in FPT campus?,location
407,Can I find your coffee shop at FPT University?,location
408,Are you near the main gate of FPT HCMC?,location
409,What’s your exact location in the university?,location
410,Are you in FPT University's main building?,location
411,Is your shop in Vietnam?,location
412,Where do you serve coffee?,location
413,Do you have a location map?,location
414,Can I visit your shop at FPT University?,location
415,Where is your store located on campus?,location
416,Are you near the library at FPT?,location
417,Is your shop close to the dormitory area?,location
418,Where do I go to find your café?,location
419,Can I see your menu?,menu
420,What drinks do you offer?,menu
421,Do you have a drink list?,menu
422,What's available on your menu?,menu
423,Can you show me the beverage options?,menu
424,What kinds of coffee and tea do you serve?,menu
425,Do you serve hot chocolate or matcha?,menu
426,What are the drink choices today?,menu
427,Could you tell me what's on the menu?,menu
428,Do you have any non-coffee drinks?,menu
429,Can I get a list of all your drinks?,menu
430,What’s your coffee selection like?,menu
431,Do you have milk-based drinks?,menu
432,Are there any seasonal items on the menu?,menu
433,Could you share your full drink menu?,menu
434,Can I see what kinds of teas you have?,menu
435,Do you offer specialty drinks?,menu
436,Is your menu available online?,menu
437,What are the top drinks on your menu?,menu
438,I’d like to browse your menu before ordering,menu
439,What kinds of drinks do you have?,menu
440,Can you list your available beverages?,menu
441,Do you have a menu I can check?,menu
442,Can I take a look at your menu options?,menu
443,Is your drink menu available to view?,menu
444,What items are currently on the menu?,menu
445,Can I know what you’re serving today?,menu
446,Tell me about your drink offerings,menu
447,What can I order from your menu?,menu
448,Are there lattes or mochas on the menu?,menu
449,Do you serve Americano or Cappuccino?,menu
450,What tea options do you have?,menu
451,Is matcha on the menu?,menu
452,Do you have white mocha available?,menu
453,What’s included in your coffee menu?,menu
454,Do you have any cold drinks?,menu
455,Are there non-dairy options on your menu?,menu
456,Can you tell me the full list of your drinks?,menu
457,I'd like to check what's available to order,menu
458,Is it possible to preview the menu?,menu
459,When does your café start serving?,open_time
460,Are you open at 8:00 AM?,open_time
461,Is your opening time 8 in the morning?,open_time
462,Do you start business at 8 AM?,open_time
463,Can I come in at 8 AM?,open_time
464,When do you begin operating?,open_time
465,Are you open every day at 8:00?,open_time
466,What are your morning hours?,open_time
467,When does the shop open in the morning?,open_time
468,Can I grab coffee right at 8 AM?,open_time
469,Is the coffee shop open now? It's 8:30 AM,open_time
470,What time do you start taking orders?,open_time
471,Can I visit at 8:15 AM?,open_time
472,Are you open first thing in the morning?,open_time
473,What’s your earliest opening time?,open_time
474,Do you open on weekends at 8 AM too?,open_time
475,Are you open at exactly 8 AM daily?,open_time
476,When can customers come in the morning?,open_time
477,Do you know the price of a White Mocha?,price
478,How much do you charge for Latte?,price
479,What's the price of Mocha?,price
480,Could you tell me how much a Cappuccino costs?,price
481,Is Chai Tea expensive here?,price
482,How much do you charge for Matcha Latte?,price
483,I'd like to know the cost of a Latte,price
484,Do you know the price of a Hot Chocolate?,price
485,Is Mocha expensive here?,price
486,Could you tell me how much a Chai Tea costs?,price
487,Do you know the price of a Matcha Latte?,price
488,I'd like to know the cost of a Matcha Latte,price
489,Is Americano expensive here?,price
490,What's the price of Chai Tea?,price
491,Can you tell me the cost of Cappuccino?,price
492,What's the price of Latte?,price
493,I'd like to know the cost of a Chai Tea,price
494,Can you tell me the cost of Chai Tea?,price
495,What's the price for a cup of Hot Chocolate?,price
496,Do you know the price of a Black Tea?,price
497,Can you tell me the cost of Latte?,price
498,Do you know the price of a Latte?,price
499,What does a Black Tea cost?,price
500,I'd like to know the cost of a Black Tea,price
501,Do you know the price of a Chai Tea?,price
502,Is Black Tea expensive here?,price
503,Could you tell me how much a Americano costs?,price
504,How much do you charge for Hot Chocolate?,price
505,Do you know the price of a Mocha?,price
506,Do you know the price of a Americano?,price
507,What does a Hot Chocolate cost?,price
508,I'd like to know the cost of a Green Mint,price
509,What's the price of Black Tea?,price
510,I'd like to know the cost of a Americano,price
511,Do you have a buy-one-get-one deal?,promotion
512,Do you have any discounts available?,promotion
513,Is there a special offer going on now?,promotion
514,Do students get a discount here?,promotion
515,Is there a weekend deal running now?,promotion
516,Do you offer any price reductions today?,promotion
517,Are group discounts available?,promotion
518,Is there a promo code I can use?,promotion
519,Is there a coupon or voucher I can apply?,promotion
520,What kind of offers do you have today?,promotion
521,Can I use any membership benefits?,promotion
522,Are you running any deals?,promotion
523,Is there any promotion I can use?,promotion
524,Can I get a discount on drinks?,promotion
525,Do you offer deals for first-time customers?,promotion
526,Are there any seasonal discounts?,promotion
527,Are there any current specials on coffee?,promotion
528,Hey there!,greeting
529,"Hi, good to see you!",greeting
530,"Hello, coffee team!",greeting
531,Greetings!,greeting
532,Morning!,greeting
533,"Hey, how’s it going?",greeting
534,"Hi, anyone there?",greeting
535,"Hey, is the shop open?",greeting
536,Hello everyone!,greeting
537,Hi again!,greeting
538,Nice to see you!,greeting
539,"Hi, hope you're doing well!",greeting
540,Yo!,greeting
541,What's up?,greeting
542,"Good morning, folks!",greeting
543,"Hi, can I get some help?",greeting
544,"Hello, is this the coffee place?",greeting
545,Good to be here!,greeting
546,"Hello, happy to connect!",greeting
547,"Hi, what’s on the menu?",greeting
548,goodbye and thanks!,goodbye
549,Talk to you later!,goodbye
550,Have a good one!,goodbye
551,Until next time!,goodbye
552,See you tomorrow!,goodbye
553,"Thanks, I'm off now!",goodbye
554,goodbye-goodbye!,goodbye
555,"I'm heading out now, goodbye!",goodbye
556,"That’s all for now, goodbye!",goodbye
557,Later!,goodbye
558,I’ll drop by again soon!,goodbye
559,"Gotta go, goodbye!",goodbye
560,Enjoy your day!,goodbye
561,Take it easy!,goodbye
562,See ya!,goodbye
563,Peace out!,goodbye
564,Talk soon!,goodbye
565,Farewell for now!,goodbye
566,Thanks so much!,thank_you
567,Thanks for your time!,thank_you
568,Many thanks!,thank_you
569,Appreciate it!,thank_you
570,Thanks for the info!,thank_you
571,Grateful for your help!,thank_you
572,Thanks for assisting me!,thank_you
573,I appreciate your service!,thank_you
574,Sincere thanks!,thank_you
575,Much obliged!,thank_you
576,Thanks for your quick response!,thank_you
577,Big thanks!,thank_you
578,Cheers!,thank_you
579,I’m thankful!,thank_you
580,"That was helpful, thank you!",thank_you
581,Thanks for your support!,thank_you
582,"Great service, thanks!",thank_you
583,"You’re awesome, thanks!",thank_you
584,Thanks for being so responsive!,thank_you
585,I really appreciate it!,thank_you
586,I want to update my drink choice,change_order
587,Can I edit what I just ordered?,change_order
588,I'd like to change my coffee to tea,change_order
589,Let me switch my order,change_order
590,I need to make a change to my current order,change_order
591,Can I modify my drink selection?,change_order
592,I'd like to pick a different drink,change_order
593,Could I alter my last request?,change_order
594,"I made a mistake, can I fix my order?",change_order
595,Is it okay if I change my order?,change_order
596,Please help me switch to another item,change_order
597,I want to replace what I ordered,change_order
598,Let me correct my order,change_order
599,I’d prefer a different item now,change_order
600,Can I revise my previous order?,change_order
601,Please update my drink to something else,change_order
602,"I’ve changed my mind, can I update my order?",change_order
603,I need to correct my last order,change_order
604,I’d like to reorder something else,change_order
605,Cancel the drink I just asked for,cancel_order
606,Can you cancel my coffee order?,cancel_order
607,Forget about my last order,cancel_order
608,I don’t want that order anymore,cancel_order
609,Drop the drink I ordered earlier,cancel_order
610,I need to cancel my coffee request,cancel_order
611,Please void my recent order,cancel_order
612,Can you delete my order?,cancel_order
613,I no longer want the drink I ordered,cancel_order
614,Please withdraw my order,cancel_order
615,I'd like to cancel what I just selected,cancel_order
616,"Remove my current order, please",cancel_order
617,"Undo my previous order, please",cancel_order
618,Take back the drink I chose,cancel_order
619,Cancel that last request for me,cancel_order
620,"I placed the wrong drink, cancel it",cancel_order
621,Scratch that drink from my order,cancel_order
622,Please stop the order I submitted,cancel_order
623,I want to cancel the item I requested,cancel_order
624,Forget my last request,cancel_order
625,What time does the coffee shop start operations?,open_time
626,When do you start brewing coffee?,open_time
627,Can I come right at 8 in the morning?,open_time
628,When do your morning hours begin?,open_time
629,Is the café open by 8 AM?,open_time
630,Do you serve breakfast at 8?,open_time
631,Are you already open at 8:00 AM sharp?,open_time
632,Can I place an order at 8:00 AM?,open_time
633,When does your first shift begin?,open_time
634,Is 8 AM your regular opening time?,open_time
635,At what time do doors open?,open_time
636,Do you start at exactly 8 AM daily?,open_time
637,Are you open for business at 8?,open_time
638,Can I stop by early in the morning?,open_time
639,Is your café open by 08:00 hours?,open_time
640,Does your store open right at 8 AM?,open_time
641,Is 8 o’clock the opening time every day?,open_time
642,When do you unlock the doors?,open_time
643,Do you begin taking orders at 8 AM?,open_time
644,When can I grab the first coffee of the day?,open_time
645,What time do you stop taking orders?,close_time
646,When does the café shut down?,close_time
647,Is the last call before 9 PM?,close_time
648,Can I come at 8:59 PM?,close_time
649,Do you close the shop at 21:00?,close_time
650,Are drinks still available at 8:55 PM?,close_time
651,When is your last service hour?,close_time
652,What time is the shop's final hour?,close_time
653,Do you accept customers until 9 PM?,close_time
654,Is it too late to come at 8:50 PM?,close_time
655,Do you still serve after 8:30 PM?,close_time
656,How late can I walk in for coffee?,close_time
657,Can I visit just before 9 PM?,close_time
658,What’s your end-of-day time?,close_time
659,Do you shut down right at 9 PM?,close_time
660,When should I come before you close?,close_time
661,Is 8:45 PM still okay to order?,close_time
662,Do you allow late-night orders?,close_time
663,Are you serving until the last minute?,close_time
664,When's your final call for drinks?,close_time
665,Where exactly are you located in FPT University?,location
666,Can I find your shop near the main gate?,location
667,Is your café close to the central building?,location
668,Where in Ho Chi Minh City is the shop?,location
669,Can you share your physical address?,location
