id,question,intent
670,Where is your coffee shop on campus?,location
671,Are you next to the student center?,location
672,Is the shop near the library at FPT?,location
673,How do I get to your café at FPT HCMC?,location
674,What’s the detailed location of your store?,location
675,Are you inside the FPT HCMC campus?,location
676,Is your café close to dormitories?,location
677,Where is your exact position on the map?,location
678,Do you operate from inside the university?,location
679,Are you near any famous landmarks at FPT?,location
680,Where do I go to find you at the university?,location
681,Are you behind the administration building?,location
682,Where’s the entrance to your shop?,location
683,Is it easy to locate your café in FPT?,location
684,Where is your exact storefront located?,location
685,Hello again!,greeting
686,Good to see you!,greeting
687,"Hi, is this the coffee bot?",greeting
688,"Hey, are you open?",greeting
689,Hi team!,greeting
690,Greetings to the coffee crew!,greeting
691,Morning there!,greeting
692,"Hi, how’s business today?",greeting
693,"Hello, just checking in!",greeting
694,"Hey, long time no see!",greeting
695,Nice day for a coffee!,greeting
696,"Hi, can I talk to someone?",greeting
697,Good morning from me!,greeting
698,"Hi, is the café open now?",greeting
699,Hello coffee assistant!,greeting
700,"Hi, I’m back!",greeting
701,Hello to the best coffee shop!,greeting
702,"Hey, ready for orders?",greeting
703,Hi café team!,greeting
704,Morning vibes!,greeting
705,That’s all for now!,goodbye
706,goodbye for today!,goodbye
707,"Logging off, goodbye!",goodbye
708,Thanks and goodbye!,goodbye
709,"Until later, take care!",goodbye
710,"goodbye, see you soon!",goodbye
711,"That’s it, thanks!",goodbye
712,Catch you again!,goodbye
713,"Cheers, I’m done!",goodbye
714,"I'm out, goodbye!",goodbye
715,"Talk later, coffee bot!",goodbye
716,Heading off now!,goodbye
717,Have a great day!,goodbye
718,That’s everything I need!,goodbye
719,Will be back later!,goodbye
720,See you another time!,goodbye
721,"I’m leaving, thanks!",goodbye
722,Great talking to you!,goodbye
723,"Time to go, goodbye!",goodbye
724,That’s a wrap!,goodbye
725,Are there any ongoing coffee deals?,promotion
726,Is there a student discount today?,promotion
727,Do you have promotions for members?,promotion
728,Any discounts this afternoon?,promotion
729,Is there a loyalty program?,promotion
730,Do I get a reward for ordering often?,promotion
731,Are there any new customer offers?,promotion
732,Any freebies with orders today?,promotion
733,What are your current deals?,promotion
734,Is there a happy hour?,promotion
735,Do you offer birthday discounts?,promotion
736,Any discount if I order two drinks?,promotion
737,Do you run flash sales?,promotion
738,What’s the best deal today?,promotion
739,Are coupons accepted here?,promotion
740,Do I get anything with a combo order?,promotion
741,Any voucher codes available?,promotion
742,Do you offer referral rewards?,promotion
743,Are there time-based promos?,promotion
744,Any surprise offers for today?,promotion
745,Thanks a bunch!,thank_you
746,Much gratitude!,thank_you
747,Thanks for your patience!,thank_you
748,Really thankful!,thank_you
749,Thanks again!,thank_you
750,So grateful!,thank_you
751,Huge thanks!,thank_you
752,Thank you kindly!,thank_you
753,I truly appreciate it!,thank_you
754,"That was awesome, thanks!",thank_you
755,Thanks for your kindness!,thank_you
756,Thank you for the support!,thank_you
757,I appreciate your effort!,thank_you
758,Massive thanks to you!,thank_you
759,Thanks for the quick reply!,thank_you
760,Thanks for the excellent service!,thank_you
761,You’ve been a big help!,thank_you
762,My appreciation!,thank_you
763,Cheers for the help!,thank_you
764,Appreciated as always!,thank_you
765,skrrrrrrrrrrrrrr yeah!,thank_you
766,Can I get an Americano?,order
767,Could I have a Latte?,order
768,I'll take a Mocha.,order
769,Do you have Black Tea?,order
770,I'd like a Chai tea.,order
771,Can I get a Green Mint?,order
772,Could I have a Hot Chocolate?,order
773,I'll take a Matcha Latte.,order
774,What's the price of an Americano?,price
775,What does a Latte cost?,price
776,How much for a Mocha?,price
777,What's the price of the White Mocha?,price
778,How much is the Black Tea?,price
779,What's the cost of the Chai tea?,price
780,How much for a Green Mint?,price
781,What's the price of a Hot Chocolate?,price
782,Thank you very much.,thank_you
783,Appreciate it.,thank_you
784,goodbye!,goodbye
785,See you!,goodbye
786,goodbye for now!,goodbye
787,Have a good day!,goodbye
788,Later!,goodbye
789,When do you start serving?,open_time
790,At what time do you open your doors?,open_time
791,What are your opening hours?,open_time
792,When can I come in?,open_time
793,When do you stop serving?,close_time
794,At what time do you close your doors?,close_time
795,What are your closing hours?,close_time
796,When do you shut down for the day?,close_time
797,Where are you located?,location
798,What's your address?,location
799,Which FPT University building are you in?,location
800,I'd like to order a coffee.,order
801,Do you have any other drinks besides coffee and tea?,order
802,What kind of Americano do you have?,order
803,Could I get a hot Cappuccino?,order
804,I want an iced Latte.,order
805,Can I order a decaf Mocha?,order
806,I'll take a large White Mocha.,order
807,Is the Black Tea hot or iced?,order
808,Can I get a small Chai tea?,order
809,What's the cost for a regular Americano?,price
810,How much is a small Cappuccino?,price
811,What's the price of the largest Latte?,price
812,Is the Mocha more expensive than the Latte?,price
813,Are all the teas the same price?,price
814,Is the Matcha Latte $4.2?,price
815,Are there any cheaper options than $3?,price
816,What's the total for a Cappuccino and a Hot Chocolate?,price
817,Can I see the prices for all your drinks?,price
818,Morning! Is the coffee shop open?,greeting
819,Thank you for the coffee.,thank_you
820,Thanks for your help!,thank_you
821,See you tomorrow!,goodbye
822,Catch you later!,goodbye
823,When do you open on weekdays?,open_time
824,What time are you open until tonight?,close_time
825,Are you open past 9 PM?,close_time
826,What are your hours on the weekend?,open_time
827,What time does the coffee shop close today?,close_time
828,Are you inside FPT University?,location
829,Where exactly in Ho Chi Minh City is this located?,location
830,Is this coffee shop near the main gate of FPT University?,location
831,Can I find you on a map?,location
832,What's the nearest landmark to your location?,location
833,Do you have a full menu I can look at?,menu
834,What are your coffee options?,menu
835,What kind of teas do you serve?,menu
836,Are there any other beverages on your menu?,menu
837,Can I see the drink menu?,menu
838,I'd like to cancel my Americano order.,cancel_order
839,Can I cancel my drink order?,cancel_order
840,Is it too late to cancel my Cappuccino?,cancel_order
841,I want to cancel the Mocha I ordered.,cancel_order
842,Can I cancel a part of my order?,cancel_order
843,Can I change my Latte to a White Mocha?,change_order
844,I want to change my Black Tea to a Green Mint.,change_order
845,Can I add something to my order?,change_order
846,Could I swap my Hot Chocolate for a Matcha Latte?,change_order
847,I'd like to change the size of my Americano.,change_order
848,Are there any promotions running right now?,promotion
849,Do you have any current deals?,promotion
850,Is there a student discount available?,promotion
851,Are there any special offers today?,promotion
852,Do you have a loyalty program or stamp card?,promotion
853,How much for an Americano with an extra shot?,price
854,Do you have a large size for the Green Mint tea?,order
855,What's the difference in price between a small and a large Latte?,price
856,Can I get a Hot Chocolate with whipped cream?,order
857,Is there a time you are less busy?,open_time
858,Do you offer oat milk for the Latte?,order
859,How much extra is almond milk for a Cappuccino?,price
860,Is there a public restroom available?,location
861,What time is the last order taken?,close_time
862,Could I see the full list of ingredients for the Matcha Latte?,menu
863,Do you have any sugar-free options?,menu
864,Can I get a hot water with lemon?,order
865,How much is a plain black coffee?,price
866,Is there free Wi-Fi here?,location
867,Are you open on public holidays?,open_time
868,Can I pay with a credit card?,order
869,Do you have any pastries or snacks?,menu
870,What's your most popular drink?,menu
871,Can I get my drink to go?,order
872,Is this location wheelchair accessible?,location
873,What's the earliest I can get coffee here?,open_time
874,Can I reserve a table?,order
875,Do you have any cold brew coffee?,menu
876,Is there a seating area available?,location
877,How long does it take to make a Latte?,order
878,Do you have gift cards available?,promotion
879,Can I get a receipt for my purchase?,order
880,What kind of milk alternatives do you have?,menu
881,Are there any vegan options on your menu?,menu
882,Can I pay with cash?,order
883,What is the minimum order for delivery?,order
884,Do you have any sugar substitutes?,menu
885,Can I get a glass of water?,order
886,How long have you been open at this location?,location
887,Is there a place to charge my phone?,location
888,Can I order a cappuccino?,order
889,"I'd like to get a latte, please.",order
890,Could I have a mocha?,order
891,Can you prepare an Americano for me?,order
892,May I order a white mocha?,order
893,"I want a black tea, please.",order
894,Could I get a chai tea?,order
895,Can I have a green mint tea?,order
896,I'd like a hot chocolate.,order
897,May I order a matcha latte?,order
898,Can I get an Americano with extra sugar?,order
899,I'd like a cappuccino with almond milk.,order
900,Could I have a latte with less ice?,order
901,Can you make a mocha without whipped cream?,order
902,May I order a white mocha with extra caramel?,order
903,I want a black tea with honey.,order
904,Could I get a chai tea with oat milk?,order
905,Can I have a green mint tea with less sugar?,order
906,I'd like a hot chocolate with marshmallows.,order
907,May I order a matcha latte with soy milk?,order
908,Can I get two Americanos and one cappuccino?,order
909,I'd like three lattes and a black tea.,order
910,Could I have a mocha and a hot chocolate?,order
911,Can you prepare a white mocha and a matcha latte?,order
912,May I order a green mint tea and a chai tea?,order
913,"I want a large Americano, please.",order
914,Could I get a small cappuccino?,order
915,Can I have a medium latte?,order
916,I'd like a large mocha.,order
917,May I order a small white mocha?,order
918,Can I get a black tea in a large cup?,order
919,I'd like a small chai tea.,order
920,Could I have a medium green mint tea?,order
921,Can you make a large hot chocolate?,order
922,May I order a small matcha latte?,order
923,Can I get an iced Americano?,order
924,I'd like a hot cappuccino.,order
925,Could I have an iced latte?,order
926,Can you make a hot mocha?,order
927,May I order an iced white mocha?,order
928,Can I get a cold black tea?,order
929,I'd like a hot chai tea.,order
930,Could I have an iced green mint tea?,order
931,Can you make a cold hot chocolate?,order
932,May I order an iced matcha latte?,order
933,Can I get an Americano to go?,order
934,I'd like a cappuccino for here.,order
935,Could I have a latte to take away?,order
936,Can you prepare a mocha for here?,order
937,May I order a white mocha to go?,order
938,How much is an Americano?,price
939,What's the price of a cappuccino?,price
940,How much does a latte cost?,price
941,What is the price for a mocha?,price
942,How much is a white mocha?,price
943,What does black tea cost?,price
944,How much is chai tea?,price
945,What's the price of green mint tea?,price
946,How much does hot chocolate cost?,price
947,What is the price for a matcha latte?,price
948,Is there a discount on Americanos?,price
949,Are cappuccinos cheaper than lattes?,price
950,How much extra for almond milk in a latte?,price
951,What's the cost of adding caramel to a mocha?,price
952,Is white mocha more expensive than regular mocha?,price
953,Do black teas have different prices?,price
954,How much is chai tea with oat milk?,price
955,What's the price difference between green mint and black tea?,price
956,Does hot chocolate cost more with marshmallows?,price
957,How much is a matcha latte with soy milk?,price
958,What’s the total for two Americanos?,price
959,How much would three lattes cost?,price
960,What’s the price of a mocha and a hot chocolate?,price
961,How much for a white mocha and a matcha latte?,price
962,What’s the cost of a green mint tea and a chai tea?,price
963,Is there a price difference between small and large Americanos?,price
964,How much more is a large cappuccino?,price
965,What’s the cost of a medium latte?,price
966,How much is a large mocha?,price
967,Is a small white mocha cheaper?,price
968,What’s the price of a large black tea?,price
969,How much is a small chai tea?,price
970,What’s the cost of a medium green mint tea?,price
971,How much for a large hot chocolate?,price
972,Is a small matcha latte less expensive?,price
973,Do iced Americanos cost more?,price
974,Is there a price difference between hot and iced cappuccinos?,price
975,How much is an iced latte?,price
976,What’s the cost of a hot mocha?,price
977,How much for an iced white mocha?,price
978,Is cold black tea the same price as hot?,price
979,How much is a hot chai tea?,price
980,What’s the price of an iced green mint tea?,price
981,Does cold hot chocolate cost extra?,price
982,How much is an iced matcha latte?,price
983,Is there an extra charge for takeaway?,price
984,Do 'for here' orders cost less?,price
985,Is there a fee for disposable cups?,price
986,How much is delivery?,price
987,Are there any hidden fees?,price
988,Good evening!,greeting
989,"Hello, how’s it going?",greeting
990,"Hey, what’s up?",greeting
991,"Hi, nice to see you!",greeting
992,"Hello, lovely day, isn’t it?",greeting
993,"Hi, how’s your day?",greeting
994,"Hey, how’s everything?",greeting
995,"Hello, how have you been?",greeting
996,"Hi, what’s new?",greeting
997,"Hello, how’s business?",greeting
998,"Hi, how’s your shift going?",greeting
999,"Hey, good to see you again!",greeting
1000,"Hello, how’s your morning?",greeting
1001,"Hi, how’s your afternoon?",greeting
1002,"Hey, how’s your evening?",greeting
1003,"Hello, everything good?",greeting
1004,"Hi, how’s life?",greeting
1005,"Hey, how’s your week?",greeting
1006,"Hello, how’s your day treating you?",greeting
1007,"Hi, how’s work?",greeting
1008,"Hey, how’s the coffee today?",greeting
1009,"Hello, how’s the weather treating you?",greeting
1010,"Hi, how’s your coffee-making going?",greeting
1011,"Hey, how’s the shop today?",greeting
1012,"Hello, how’s the vibe here?",greeting
1013,"Hi, how’s the crowd?",greeting
1014,"Hey, how’s the music?",greeting
1015,"Hello, how’s the Wi-Fi today?",greeting
1016,"Hi, how’s the seating?",greeting
1017,"Hey, how’s the atmosphere?",greeting
1018,"Hello, how’s the service today?",greeting
1019,"Hi, how’s the barista doing?",greeting
1020,"Hey, how’s the espresso machine working?",greeting
1021,"Hello, how’s the coffee aroma?",greeting
1022,"Hi, how’s the temperature in here?",greeting
1023,"Hey, how’s the lighting?",greeting
1024,"Hello, how’s the cleanliness?",greeting
1025,"Hi, how’s the menu today?",greeting
1026,"Hey, how’s the special brew?",greeting
1027,"Hello, how’s the vibe at this hour?",greeting
1028,"Hi, how’s the staff today?",greeting
1029,"Hey, how’s the coffee art?",greeting
1030,Thank you very much!,thank_you
1031,Thanks a ton!,thank_you
1032,Thank you for the coffee!,thank_you
1033,Thanks for the quick service!,thank_you
1034,Thank you for being so kind!,thank_you
1035,Thanks for the recommendation!,thank_you
1036,Thank you for the fast delivery!,thank_you
1037,Thanks for making it perfect!,thank_you
1038,Thank you for the extra caramel!,thank_you
1039,Thanks for the free napkin!,thank_you
1040,Thank you for the warm cup!,thank_you
1041,Thanks for the friendly service!,thank_you
1042,Thank you for the patience!,thank_you
1043,Thanks for the great atmosphere!,thank_you
1044,Thank you for the music choice!,thank_you
1045,Thanks for the comfortable seat!,thank_you
1046,Thank you for the Wi-Fi!,thank_you
1047,Thanks for the clean table!,thank_you
1048,Thank you for the quick refill!,thank_you
1049,Thanks for the loyalty points!,thank_you
1050,Thank you for the reusable cup!,thank_you
1051,Thanks for the eco-friendly straw!,thank_you
1052,Thank you for the perfect temperature!,thank_you
1053,Thanks for the strong brew!,thank_you
1054,Thank you for the smooth latte!,thank_you
1055,Thanks for the frothy cappuccino!,thank_you
1056,Thank you for the rich mocha!,thank_you
1057,Thanks for the refreshing tea!,thank_you
1058,Thank you for the calming chai!,thank_you
1059,Thanks for the minty freshness!,thank_you
1060,Thank you for the sweet hot chocolate!,thank_you
1061,Thanks for the delicious matcha!,thank_you
1062,Thank you for remembering my order!,thank_you
1063,Thanks for the personalized touch!,thank_you
1064,Thank you for the smile!,thank_you
1065,Thanks for the positive energy!,thank_you
1066,Thank you for the quick checkout!,thank_you
1067,Thanks for the contactless payment!,thank_you
1068,Thank you for the loyalty discount!,thank_you
1069,Thanks for the birthday treat!,thank_you
1070,Thank you for the surprise!,thank_you
1071,Thanks for everything!,thank_you
1072,See you next time!,goodbye
1073,Have a good day!,goodbye
1074,Have a great one!,goodbye
1075,Have a nice evening!,goodbye
1076,Catch you later!,goodbye
1077,Adios!,goodbye
1078,Cheers!,goodbye
1079,"goodbye, take it easy!",goodbye
1080,See you around!,goodbye
1081,Have a wonderful day!,goodbye
1082,Enjoy your coffee!,goodbye
1083,Stay awesome!,goodbye
1084,"goodbye, stay safe!",goodbye
1085,"See you, all the best!",goodbye
1086,"goodbye, drive safely!",goodbye
1087,"goodbye, enjoy your weekend!",goodbye
1088,"See you, happy sipping!",goodbye
1089,"goodbye, stay caffeinated!",goodbye
1090,"goodbye, keep smiling!",goodbye
1091,"See you, stay warm!",goodbye
1092,"goodbye, stay cool!",goodbye
1093,"goodbye, happy brewing!",goodbye
1094,"See you, happy hours!",goodbye
1095,"goodbye, sweet dreams!",goodbye
1096,"goodbye, stay cozy!",goodbye
1097,"See you, stay refreshed!",goodbye
1098,"goodbye, stay energized!",goodbye
1099,"goodbye, keep the buzz going!",goodbye
1100,"See you, stay productive!",goodbye
1101,"goodbye, stay inspired!",goodbye
1102,"goodbye, stay creative!",goodbye
1103,"See you, stay happy!",goodbye
1104,"goodbye, stay blessed!",goodbye
1105,"goodbye, stay positive!",goodbye
1106,"See you, stay amazing!",goodbye
1107,"goodbye, stay wonderful!",goodbye
1108,"goodbye, stay fantastic!",goodbye
1109,When do you open?,open_time
1110,What time does the coffee shop open?,open_time
1111,Are you open in the morning?,open_time
1112,Do you open at 8 AM?,open_time
1113,Is the shop open early?,open_time
1114,What time do you start serving coffee?,open_time
1115,Can I come in at 8:30 AM?,open_time
1116,Do you open on weekends?,open_time
1117,Are you open every day?,open_time
1118,What’s the earliest I can get coffee?,open_time
1119,Is the café open by 9 AM?,open_time
1120,Do you open at the same time every day?,open_time
1121,What time do the doors open?,open_time
1122,Can I get coffee at 8:15 AM?,open_time
1123,Are you open for breakfast?,open_time
1124,Do you open before 9 AM?,open_time
1125,What time does the shop unlock?,open_time
1126,Is the counter open at 8:05 AM?,open_time
1127,Do you start serving at 8 AM sharp?,open_time
1128,Can I order at 8:10 AM?,open_time
1129,Are you open during holidays?,open_time
1130,Do you open later on Sundays?,open_time
1131,Is the café open on public holidays?,open_time
1132,What time do baristas start work?,open_time
1133,Do you open earlier in summer?,open_time
1134,Are you open during Christmas?,open_time
1135,Do you open on New Year’s Day?,open_time
1136,Is the shop open during Tet?,open_time
1137,Do you open earlier for special events?,open_time
1138,Can I come before official opening?,open_time
1139,Is the seating area open at 8 AM?,open_time
1140,Do you open earlier for regulars?,open_time
1141,What time does the kitchen open?,open_time
1142,Are pastries available at opening?,open_time
1143,Do you open earlier for takeaway?,open_time
1144,Is Wi-Fi available at opening?,open_time
1145,Do you open earlier for students?,open_time
1146,Can I reserve a table before opening?,open_time
1147,Is the outdoor seating open early?,open_time
1148,Do you open earlier in exam season?,open_time
1149,Are you open during university breaks?,open_time
1150,Do you open earlier for faculty?,open_time
1151,Is the shop open during renovations?,open_time
1152,Do you open earlier for FPT staff?,open_time
1153,Are you open during heavy rain?,open_time
1154,Do you open earlier for delivery?,open_time
1155,Is the café open during power outages?,open_time
1156,Do you open earlier for VIPs?,open_time
1157,Are you open during construction?,open_time
1158,What time does the coffee shop close?,close_time
1159,Do you close at 9 PM sharp?,close_time
1160,Is the shop open late?,close_time
1161,What time do you stop serving coffee?,close_time
1162,Can I come in at 8:45 PM?,close_time
1163,Do you close earlier on weekends?,close_time
1164,Are you open until late every day?,close_time
1165,What’s the latest I can get coffee?,close_time
1166,Is the café open past 9 PM?,close_time
1167,Do you close at the same time every day?,close_time
1168,What time do the doors close?,close_time
1169,Can I get coffee at 8:50 PM?,close_time
1170,Are you open for late-night drinks?,close_time
1171,Do you close before 10 PM?,close_time
1172,What time does the shop lock up?,close_time
1173,Is the counter open until 9 PM?,close_time
1174,Do you stop serving at 9 PM sharp?,close_time
1175,Can I order at 8:55 PM?,close_time
1176,Are you open during late events?,close_time
1177,Do you close later on Fridays?,close_time
1178,Is the café open for late study sessions?,close_time
1179,What time do baristas finish work?,close_time
1180,Do you close earlier in winter?,close_time
1181,Are you open during late concerts?,close_time
1182,Do you close on special holidays?,close_time
1183,Is the shop open during late exams?,close_time
1184,Do you stay open later for special events?,close_time
1185,Can I stay past closing time?,close_time
1186,Is the seating area open until 9 PM?,close_time
1187,Do you close later for regulars?,close_time
1188,What time does the kitchen close?,close_time
1189,Are pastries available until closing?,close_time
1190,Do you close later for takeaway?,close_time
1191,Is Wi-Fi available until closing?,close_time
1192,Do you close later for students?,close_time
1193,Can I stay longer if I’m studying?,close_time
1194,Is the outdoor seating open late?,close_time
1195,Do you close later in exam season?,close_time
1196,Are you open during late university events?,close_time
1197,Do you close later for faculty?,close_time
1198,Is the shop open during late renovations?,close_time
1199,Do you close later for FPT staff?,close_time
1200,Are you open during late-night rain?,close_time
1201,Do you close later for delivery?,close_time
1202,Is the café open during late outages?,close_time
1203,Do you close later for VIPs?,close_time
1204,Are you open during late construction?,close_time
1205,What’s the address of the café?,location
1206,Is the coffee shop near FPT University?,location
1207,Can you give me directions?,location
1208,Is it inside the university?,location
1209,Is the café easy to find?,location
1210,What’s the nearest landmark?,location
1211,Is there parking nearby?,location
1212,Is it close to public transport?,location
1213,Is the café on campus?,location
1214,Which building is it in?,location
1215,Is it near the library?,location
1216,Is it close to the cafeteria?,location
1217,What’s the closest bus stop?,location
1218,Is there a taxi stand nearby?,location
1219,Is it near the main gate?,location
1220,Is the café in District 9?,location
1221,Is it near the dormitories?,location
1222,Is it inside a shopping area?,location
1223,Is the café in a standalone building?,location
1224,Is it near any restaurants?,location
1225,Is it close to the sports complex?,location
1226,Is there signage outside?,location
1227,Is it on the ground floor?,location
1228,Is it near the admin office?,location
1229,Is it accessible by bike?,location
1230,Is there a bike rack outside?,location
1231,Is it near the student center?,location
1232,Is it near any classrooms?,location
1233,Is it close to the auditorium?,location
1234,Is it near the IT building?,location
1235,Is it near the engineering block?,location
1236,Is it near the business school?,location
1237,Is it near the design faculty?,location
1238,Is it near the science labs?,location
1239,Is it near the parking lot?,location
1240,Is it near the main road?,location
1241,Is it near the university gate?,location
1242,Is it near the security booth?,location
1243,Is it near the basketball court?,location
1244,Is it near the swimming pool?,location
1245,Is it near the gym?,location
1246,Is it near the bookstore?,location
1247,Is it near the photocopy shop?,location
1248,Is it near the ATM?,location
1249,Is it near the pharmacy?,location
1250,Is it near the convenience store?,location
1251,Is it near the post office?,location
1252,Is it near the bus terminal?,location
1253,Is it near the metro station?,location
1254,What’s on the menu?,menu
1255,Do you serve coffee?,menu
1256,What types of coffee do you have?,menu
1257,Do you have tea options?,menu
1258,What kind of tea do you serve?,menu
1259,Do you offer hot chocolate?,menu
1260,Is matcha latte available?,menu
1261,What’s your specialty drink?,menu
1262,Do you have any iced drinks?,menu
1263,What’s the most popular item?,menu
1264,Do you have black tea?,menu
1265,Is chai tea on the menu?,menu
1266,Do you serve green mint tea?,menu
1267,Is white mocha available?,menu
1268,Do you have flavored lattes?,menu
1269,What’s in a mocha?,menu
1270,Do you have decaf coffee?,menu
1271,Is there a seasonal drink?,menu
1272,Do you offer any snacks?,menu
1273,Are pastries available?,menu
1274,Do you have vegan options?,menu
1275,Is oat milk available?,menu
1276,Do you have almond milk?,menu
1277,Is soy milk an option?,menu
1278,Do you offer sugar-free syrup?,menu
1279,Can I get extra espresso shots?,menu
1280,Do you have whipped cream?,menu
1281,Is caramel drizzle available?,menu
1282,Do you offer cinnamon sprinkles?,menu
1283,Can I get a custom drink?,menu
1284,Do you have a kid’s menu?,menu
1285,Is there a student discount?,menu
1286,Do you offer combo deals?,menu
1287,Is there a loyalty program?,menu
1288,Do you have a signature drink?,menu
1289,What’s the strongest coffee?,menu
1290,Do you have a mild coffee?,menu
1291,Is there a low-acid option?,menu
1292,Do you serve cold brew?,menu
1293,Is nitro coffee available?,menu
1294,Do you have frappes?,menu
1295,Is there a smoothie option?,menu
1296,Do you serve milkshakes?,menu
1297,Is there a dairy-free option?,menu
1298,Do you have gluten-free items?,menu
1299,Is there a nut-free option?,menu
1300,Do you offer organic coffee?,menu
1301,Is fair-trade coffee available?,menu
1302,Do you have single-origin beans?,menu
1303,Is there a limited-edition drink?,menu
1304,Can I cancel my order?,cancel_order
1305,How do I cancel my coffee order?,cancel_order
1306,Is it possible to cancel after ordering?,cancel_order
1307,Can I stop my order if it’s not ready?,cancel_order
1308,Do you allow order cancellations?,cancel_order
1309,What’s your cancellation policy?,cancel_order
1310,Can I cancel if the barista hasn’t started?,cancel_order
1311,Is there a fee for canceling?,cancel_order
1312,Can I cancel online orders?,cancel_order
1313,How long do I have to cancel?,cancel_order
1314,Can I cancel a takeaway order?,cancel_order
1315,Can I cancel a delivery order?,cancel_order
1316,Can I cancel if I change my mind?,cancel_order
1317,Can I cancel and get a refund?,cancel_order
1318,Can I cancel before payment?,cancel_order
1319,Can I cancel after payment?,cancel_order
1320,Can I cancel part of my order?,cancel_order
1321,Can I cancel if the wait is too long?,cancel_order
1322,Can I cancel if I’m running late?,cancel_order
1323,Can I cancel if the order is wrong?,cancel_order
1324,Can I cancel if I’m not satisfied?,cancel_order
1325,Can I cancel and reorder?,cancel_order
1326,Can I cancel via phone?,cancel_order
1327,Can I cancel in person?,cancel_order
1328,Can I cancel through the app?,cancel_order
1329,Can I cancel at the counter?,cancel_order
1330,Can I cancel before it’s prepared?,cancel_order
1331,Can I cancel during peak hours?,cancel_order
1332,Can I cancel a group order?,cancel_order
1333,Can I cancel a pre-order?,cancel_order
1334,Can I cancel a subscription?,cancel_order
1335,Can I cancel a recurring order?,cancel_order
1336,Can I cancel if I’m outside?,cancel_order
1337,Can I cancel if I’m inside?,cancel_order
